keyword,search_volume,competition,low_top_of_page_bid,high_top_of_page_bid,cpc,2025_09,2025_08,2025_07,2025_06,2025_05,2025_04,2025_03,2025_02,2025_01,2024_12,2024_11,2024_10,growth_slope,growth_r2,growth_consistency,growth_stability,sustained_growth_score,yoy_trend_%,3month_trend_%
application management,4400.0,9.0,0.6,13.45,6.73,3600.0,2900.0,3600.0,3600.0,3600.0,4400.0,5400.0,3600.0,4400.0,3600.0,4400.0,4400.0,59.21146694643849,0.7005891374983846,0.7272727272727273,0.9720228865168763,0.007660833569341944,22.22222222222222,22.22222222222222
smart thermostat,201000.0,100.0,0.32,2.22,1.3,165000.0,201000.0,246000.0,201000.0,90500.0,110000.0,550000.0,201000.0,135000.0,135000.0,165000.0,165000.0,-5515.831149290214,0.017563660714412843,0.2727272727272727,0.6379644577824566,-8.468846298082969e-05,0.0,22.22222222222222
audience retention,1900.0,1.0,0.13,0.38,22.84,1900.0,1600.0,1600.0,1300.0,1600.0,1600.0,1600.0,1300.0,1600.0,1600.0,2400.0,3600.0,110.56765111705383,0.059504587264686104,0.6363636363636364,1.0,0.002483428139410923,89.47368421052632,125.0
emission monitoring,590.0,6.0,0.7,4.42,5.8,590.0,390.0,390.0,480.0,590.0,720.0,880.0,590.0,720.0,880.0,720.0,720.0,25.260616752608055,0.7142920196762859,0.5454545454545454,0.9892201307483375,0.016190302971619393,22.033898305084744,-18.181818181818183
sample products,9900.0,15.0,0.03,1.77,0.88,9900.0,6600.0,12100.0,12100.0,9900.0,9900.0,12100.0,22200.0,8100.0,6600.0,8100.0,8100.0,-298.82647215245026,0.08831743503026601,0.36363636363636365,0.6453781022911099,-0.0005860654444507516,-18.181818181818183,22.727272727272727
solar lighting,246000.0,100.0,0.07,1.12,0.48,246000.0,246000.0,246000.0,246000.0,301000.0,301000.0,246000.0,246000.0,246000.0,246000.0,301000.0,301000.0,2598.255119773921,0.4103163559566466,0.36363636363636365,1.0,0.0014958551380208557,22.35772357723577,22.35772357723577
tree trimming,90500.0,59.0,0.44,12.09,6.38,74000.0,74000.0,74000.0,90500.0,74000.0,74000.0,90500.0,74000.0,60500.0,60500.0,90500.0,201000.0,4662.947229193564,0.18554959382824687,0.36363636363636365,1.0,0.003975550765620145,171.6216216216216,232.2314049586777
budget optimization,260.0,5.0,0.89,18.3,17.34,210.0,210.0,210.0,320.0,260.0,320.0,210.0,260.0,260.0,210.0,260.0,260.0,0.01575466623572254,0.3503572065412095,0.6363636363636364,0.907140112317901,1.304808705300191e-05,23.809523809523807,23.809523809523807
creation kit,5400.0,6.0,0.14,2.42,1.57,3600.0,4400.0,5400.0,4400.0,5400.0,5400.0,5400.0,5400.0,6600.0,8100.0,5400.0,5400.0,165.83831519792471,0.9029150183275618,0.7272727272727273,0.9180835821243772,0.019567856612454197,50.0,-33.33333333333333
mass flow meter,22200.0,65.0,0.49,3.4,3.2,22200.0,22200.0,27100.0,33100.0,22200.0,22200.0,22200.0,22200.0,22200.0,18100.0,22200.0,22200.0,-414.569456283166,0.1679857366281715,0.36363636363636365,0.7840002328840878,-0.0008444652046849955,0.0,22.65193370165746
