keyword,search_volume,competition,low_top_of_page_bid,high_top_of_page_bid,cpc,2025_09,2025_08,2025_07,2025_06,2025_05,2025_04,2025_03,2025_02,2025_01,2024_12,2024_11,2024_10,growth_slope,growth_r2,growth_consistency,growth_stability,sustained_growth_score,yoy_trend_%,3month_trend_%,priority_score
twitter ads,301000,18,0.16,32.28,16.02,22200,18100,18100,14800,22200,27100,40500,33100,33100,673000,1830000,1000000,129794.10333196292,0.5261926735100799,0.7272727272727273,1,0.30412498118785614,4404.504504504504,48.588410104011885,22.140255819682807
word game app,368000,30,0.77,5.08,4.22,4400,4400,4400,3600,4400,4400,4400,4400,12100,110000,165000,4090000,170513.22973877977,0.2643078204377388,0.7272727272727273,1,0.2703007772829018,92854.54545454546,3618.181818181818,20.610377734931472
best crm software,673000,29,0.07,5.68,14.5,14800,8100,165000,550000,165000,246000,450000,301000,823000,1830000,1830000,1220000,158307.88092527958,0.8256414260245056,0.7272727272727273,1,0.22079056812914094,8143.243243243243,-33.33333333333333,18.695722635176015
small business erp,673000,14,0.07,0.98,12.21,12100,6600,165000,550000,201000,246000,550000,673000,1000000,1830000,1830000,1220000,159062.57530756734,0.8821637411494064,0.7272727272727273,0.9926972333109466,0.21137994249824676,9982.644628099173,-33.33333333333333,18.14726995576978
business accounting software,673000,15,0.14,3.49,6.01,18100,18100,18100,22200,27100,201000,673000,201000,1830000,1500000,1830000,1000000,166914.1425558349,0.8144012737745778,0.6363636363636364,0.9413198803323648,0.20203126797873103,5424.861878453039,-33.33333333333333,17.602427796467133
radar chip,368000,59,0.06,1.56,1.86,60500,135000,135000,110000,110000,246000,246000,201000,823000,450000,673000,1220000,81735.90581073725,0.8081175953446871,0.8181818181818182,1,0.21296242047673608,1916.5289256198346,171.11111111111111,17.41901205337226
sideboard,2240000,100,0.35,1.43,1.23,673000,673000,673000,550000,673000,673000,823000,823000,1000000,1500000,7480000,9140000,636707.5741893989,0.4624682389454261,0.7272727272727273,1,0.16988326311081187,1258.0980683506687,509.33333333333337,17.138256567509906
natal chart reading,90500,39,0.18,2.14,1.58,12100,14800,14800,12100,14800,18100,22200,22200,90500,110000,550000,135000,29948.506830423492,0.56150108558036,0.8181818181818182,0.8897412796888865,0.23569704790774085,1015.702479338843,22.727272727272727,16.639322955552846
teeth whitening,90500,39,0.18,2.14,1.58,12100,14800,14800,12100,14800,18100,22200,22200,90500,110000,550000,135000,29948.506830423492,0.56150108558036,0.8181818181818182,0.8897412796888865,0.23569704790774085,1015.702479338843,22.727272727272727,16.639322955552846
record label services,1220000,82,0.21,1.98,0.36,450000,550000,550000,550000,673000,673000,1000000,1220000,1500000,2740000,3350000,1830000,230164.9051535837,0.8020944857537002,0.9090909090909091,0.9569228128640094,0.16460086733836368,306.6666666666667,-33.21167883211679,16.10456090129915
online executive mba,90500,64,1.03,18.03,13.74,8100,27100,22200,110000,18100,14800,33100,40500,90500,135000,301000,301000,24853.61272575555,0.6481796497971826,0.8181818181818182,1,0.22036927437905116,3616.0493827160494,122.96296296296296,15.879579086719259
kyc solution,12100,67,0.03,2.23,1.76,390,320,320,320,390,390,590,480,480,390,74000,60500,5346.718939252431,0.4194011758043328,0.6363636363636364,1,0.2796410395778231,15412.820512820514,15412.820512820514,15.499928823600644
rifle scope,8100,100,0.32,2.97,1.55,480,480,590,720,480,480,590,720,3600,22200,40500,18100,2944.4634603040085,0.569758030327522,0.7272727272727273,1,0.29488602724876234,3670.8333333333335,-18.46846846846847,15.434061216662938
nanomaterial suppliers,673000,31,0.14,1.55,5.17,60500,49500,201000,550000,246000,301000,550000,368000,1830000,1830000,1830000,1220000,165427.12553667874,0.8559195785467296,0.6363636363636364,0.9710127438624444,0.16291144370418337,1916.5289256198346,-33.33333333333333,15.322518544648547
online bank account,301000,55,2.76,42.14,31.95,74000,110000,135000,110000,165000,165000,165000,368000,673000,823000,673000,550000,64909.686855274515,0.8343593215501255,0.8181818181818182,0.9969595337021409,0.1759995677646891,643.2432432432432,-33.171324422843256,15.120819847540082
turret defense system,165000,21,0.03,1.03,0.8,60500,60500,90500,90500,110000,110000,110000,135000,246000,301000,368000,450000,33562.90760403544,0.8156394823215865,0.9090909090909091,1,0.18727063717006395,643.801652892562,49.501661129568106,14.988299370789074
ai lead orchestration,3600,15,8.94,58.85,58,90,90,40,170,590,1000,1300,880,2900,2400,3600,27100,1271.626445536023,0.46664840630825366,0.8181818181818182,1,0.32108224901063337,30011.11111111111,1029.1666666666665,14.97495855185229
gestion formation,18100,42,0.48,2.81,2.06,4400,1600,1900,1900,2400,2900,3600,4400,22200,49500,60500,49500,5731.914313469944,0.6229957374332309,0.7272727272727273,1,0.24837596269517928,1025,0,14.83272872366691
font subscription,4400,34,1.05,8.43,8.96,90,140,390,720,390,480,720,880,1000,390,9900,40500,1972.997516915614,0.3565157377369622,0.8181818181818182,1,0.30669168072917385,44900,10284.615384615385,14.817618926573743
ai translation service,27100,22,0.5,14.97,9.88,1300,720,1000,720,720,1000,1900,1000,1600,1900,40500,301000,13451.153131677545,0.2844919980057796,0.6363636363636364,1,0.23328895466457295,23053.846153846156,15742.105263157897,14.774597010156837
roofing panels,201000,0,0.92,3.09,1.47,90500,74000,90500,74000,90500,90500,90500,110000,301000,550000,673000,450000,53714.38545404634,0.655886520271594,0.8181818181818182,1,0.17780957601354203,397.2375690607735,-18.181818181818183,14.732786482286736
